activity,average_weight,average_sector_ptf,average_contribution,cumulative_log_contribution,ptf_index_2024
Agricultura,0.06069322992625836,1.2823708501610127,0.0760697715135145,1.4453256587567755,127.58982770067063
Minería,0.06130485443122692,-2.277756323154882,-0.13329698095056347,-2.532642638060706,64.87072767446449
Manufactura,0.2325629427032761,-0.3545385354332479,-0.08111908892566866,-1.5412626895877046,93.48564211687884
"Electricidad, gas y agua",0.03429667665701432,-0.3173405444064798,-0.008935340763714427,-0.16977147451057412,94.14870332313014
Construcción,0.08711330624341644,-0.9510826695469848,-0.08144217204256363,-1.5474012688087089,83.46809631403332
"Comercio, hoteles y restaurantes",0.13003757619733233,1.0268519988988876,0.12826401460412928,2.4370162774784565,121.54348084261473
Transporte y comunicaciones,0.08623766042992068,0.11188300851242533,0.008421077537822747,0.1600004732186322,102.14853276285447
Finanzas e inmobiliarias,0.14697538395251325,-0.9275630724999594,-0.13665807474608527,-2.5965034201756203,83.8419268028688
Servicios sociales,0.16077836945904167,0.890640079072933,0.14789352829706426,2.809977037644221,118.43825868169309
Total de la economía,1,-0.08080326547606458,-0.08080326547606458,-1.535262044045227,98.47646302348147
