year,activity,ptf,index
2005,Agricultura,,100
2006,Agricultura,2.731897624932886,102.76955609626577
2007,Agricultura,2.323206842531002,105.18505533539621
2008,Agricultura,-2.892545664586325,102.18611158023585
2009,Agricultura,-2.590852329266908,99.57262234233238
2010,Agricultura,-1.477630430449354,98.1121239322482
2011,Agricultura,1.048826208660588,99.14656486304912
2012,Agricultura,1.952064286352201,101.10098323699958
2013,Agricultura,4.197681309931134,105.4352124699968
2014,Agricultura,1.787500963451692,107.33681283880122
2015,Agricultura,2.762916370718889,110.34378803353195
2016,Agricultura,1.258488630478841,111.74122692139302
2017,Agricultura,1.409865751323098,113.32778610692952
2018,Agricultura,0.9653513786288801,114.42709501225225
2019,Agricultura,2.965325833617302,117.87104097501668
2020,Agricultura,3.389846279710143,121.93518298577102
2021,Agricultura,1.204753520687161,123.41308606486041
2022,Agricultura,-0.8934836504422696,122.3153217934935
2023,Agricultura,0.4196019054416946,122.82963749902501
2024,Agricultura,3.80223132133859,127.58982770067063
2005,Minería,,100
2006,Minería,-3.132700869851751,96.91585979602645
2007,Minería,-4.324306909079369,92.81424296102914
2008,Minería,-2.773676452773486,90.27525064956468
2009,Minería,7.47984825443352,97.28665495762267
2010,Minería,-1.436831008686941,95.89880454098265
2011,Minería,0.6739551271593776,96.54730228833411
2012,Minería,-0.447550476814877,96.1161698638383
2013,Minería,-2.015863651162977,94.19799775675983
2014,Minería,-7.472051244634315,87.41600711614689
2015,Minería,-3.415592255890976,84.48064806183936
2016,Minería,-1.884536099711061,82.90348750862525
2017,Minería,-3.905633942038841,79.72799594651103
2018,Minería,-4.47748708434442,76.23692457917478
2019,Minería,-1.079371321192514,75.41847010663773
2020,Minería,-8.483295101509748,69.28436417976783
2021,Minería,-2.474676532535527,67.59084131077357
2022,Minería,-1.176746730117744,66.80012975631874
2023,Minería,-0.6001539964622307,66.40042672452786
2024,Minería,-2.330699844728882,64.87072767446449
2005,Manufactura,,100
2006,Manufactura,2.553355351769602,102.58623269827154
2007,Manufactura,0.007352163992550231,102.59377528360152
2008,Manufactura,-1.336646828157722,101.23158297154593
2009,Manufactura,-2.243911980422449,98.98533155639717
2010,Manufactura,-1.13392960469398,97.8692473410232
2011,Manufactura,-0.3094782491891603,97.56683150484523
2012,Manufactura,-0.8681517368122245,96.72346949049218
2013,Manufactura,-0.3658403928904055,96.37026245064321
2014,Manufactura,-0.8482892953277448,95.55622142333335
2015,Manufactura,-1.015543048457428,94.59071771012943
2016,Manufactura,0.4785829203743972,95.04449772004088
2017,Manufactura,-0.7413111430048136,94.34252737450845
2018,Manufactura,-0.1244861122196323,94.22515710001318
2019,Manufactura,-0.01082758408335449,94.21495534421231
2020,Manufactura,-1.930024983786335,92.41401833836909
2021,Manufactura,3.971828176181219,96.1584125782365
2022,Manufactura,-0.5837025630257742,95.59876837718785
2023,Manufactura,-1.039587191784061,94.61008384875188
2024,Manufactura,-1.195620071694396,93.48564211687884
2005,"Electricidad, gas y agua",,100
2006,"Electricidad, gas y agua",1.298625051503958,101.30709380604223
2007,"Electricidad, gas y agua",0.4591468373219634,101.77331161635055
2008,"Electricidad, gas y agua",-1.450842986662372,100.30740041119424
2009,"Electricidad, gas y agua",-0.1068556254839663,100.20027355680654
2010,"Electricidad, gas y agua",-1.781737834070235,98.43077806988802
2011,"Electricidad, gas y agua",-1.885836348836071,96.59192802659926
2012,"Electricidad, gas y agua",-0.6530209466856807,95.96321754355895
2013,"Electricidad, gas y agua",-0.2332157642015922,95.73967695967181
