year,activity,gross_output_nominal_billion_cop,gross_output_share
2005,Agricultura,39926,0.06795729818421967
2005,Minería,31009,0.052779839187358304
2005,Manufactura,155579,0.26480810735367205
2005,"Electricidad, gas y agua",19103,0.032514859169792826
2005,Construcción,44649,0.07599622818782807
2005,"Comercio, hoteles y restaurantes",73072,0.12437448512040523
2005,Transporte y comunicaciones,51949,0.08842142171447245
2005,Finanzas e inmobiliarias,81260,0.13831112684590718
2005,Servicios sociales,90969,0.1548366342363442
2006,Agricultura,42954,0.06434786256157045
2006,Minería,35926,0.05381946525089584
2006,Manufactura,179219,0.26848162174470586
2006,"Electricidad, gas y agua",20568,0.03081219064968061
2006,Construcción,53674,0.08040711400870076
2006,"Comercio, hoteles y restaurantes",83123,0.12452361548878849
2006,Transporte y comunicaciones,60288,0.0903153126161
2006,Finanzas e inmobiliarias,90278,0.13524226699104758
2006,Servicios sociales,101498,0.15205055068851045
2007,Agricultura,46679,0.0627350261939129
2007,Minería,37328,0.050167592659790934
2007,Manufactura,199190,0.26770474662193944
2007,"Electricidad, gas y agua",22446,0.030166678762367855
2007,Construcción,61450,0.08258675977668647
2007,"Comercio, hoteles y restaurantes",93172,0.125220074563278
2007,Transporte y comunicaciones,68214,0.09167735120271589
2007,Finanzas e inmobiliarias,102361,0.1375697854760196
2007,Servicios sociales,113226,0.1521719847432889
2008,Agricultura,51206,0.060939283261868975
2008,Minería,52463,0.06243521497026583
2008,Manufactura,218622,0.26017786949334687
2008,"Electricidad, gas y agua",24959,0.02970322952257524
2008,Construcción,74831,0.08905494484570006
2008,"Comercio, hoteles y restaurantes",102827,0.1223724501028825
2008,Transporte y comunicaciones,75735,0.09013077799159565
2008,Finanzas e inmobiliarias,116713,0.13889791366915036
2008,Servicios sociales,122923,0.14628831614261453
2009,Agricultura,52293,0.05994126574385262
2009,Minería,51447,0.05897153153814059
2009,Manufactura,213961,0.24525449218481346
2009,"Electricidad, gas y agua",28869,0.03309132007647833
